Time (UTCG),Position (x),Position (y),Position (z)
1 Oct 2025 06:44:50.000,2269.4915891361175,-3170.5456085481337,5666.203129670685
1 Oct 2025 06:45:00.000,2214.189262242597,-3135.0381029980504,5707.688807423893
1 Oct 2025 06:45:10.000,2158.7430777235368,-3099.0127525111266,5748.457113019181
1 Oct 2025 06:45:20.000,2103.1285635641084,-3062.369146226601,5788.570994558487
1 Oct 2025 06:45:30.000,2047.44145352953,-3025.292941101604,5827.898267766001
1 Oct 2025 06:45:40.000,1991.5508188806707,-2987.6317246196422,5866.565743606575
1 Oct 2025 06:45:50.000,1935.501110321795,-2949.481524053883,5904.507247102912
1 Oct 2025 06:46:00.000,1879.3842464449713,-2910.7856545700897,5941.7214425266675
1 Oct 2025 06:46:10.000,1823.083480676321,-2871.498847121222,5978.266381325671
1 Oct 2025 06:46:20.000,1766.7559912616075,-2831.7714063272624,6014.021297083502
1 Oct 2025 06:46:30.000,1710.2929993650466,-2791.5503920645897,6049.045564824005
1 Oct 2025 06:46:40.000,1653.7996262369434,-2750.896925390579,6083.282353996717
1 Oct 2025 06:46:50.000,1597.1691444010376,-2709.6274253761135,6116.843897198139
1 Oct 2025 06:47:00.000,1540.4718664546867,-2667.947836735531,6149.618765749106
1 Oct 2025 06:47:10.000,1483.7120962747922,-2625.7300428182507,6181.662359352413
1 Oct 2025 06:47:20.000,1426.9127540913482,-2583.083592131673,6212.922798243768
1 Oct 2025 06:47:30.000,1370.0414084029715,-2539.8985505683218,6243.453467936943
1 Oct 2025 06:47:40.000,1313.1751016758053,-2496.253112203601,6273.204980327267
1 Oct 2025 06:47:50.000,1256.2560334438967,-2452.1723956459496,6302.180650313148
1 Oct 2025 06:48:00.000,1199.320832520889,-2407.6293774143496,6330.38390954014
1 Oct 2025 06:48:10.000,1142.3693030143886,-2362.614827250031,6357.818307586178
1 Oct 2025 06:48:20.000,1085.3685477529848,-2317.1325570738386,6384.487512317755
1 Oct 2025 06:48:30.000,1028.4224818044404,-2271.2433542832405,6410.351823046464
1 Oct 2025 06:48:40.000,971.5123371693213,-2224.941166928615,6435.418552489371
1 Oct 2025 06:48:50.000,914.5486280055578,-2178.122437533198,6459.736322288692
1 Oct 2025 06:49:00.000,857.6640661744844,-2130.9537158495223,6483.229115282433
1 Oct 2025 06:49:10.000,800.7927988690626,-2083.3138992346353,6505.946890765017
1 Oct 2025 06:49:20.000,743.9690348547922,-2035.281498780937,6527.859566347653
1 Oct 2025 06:49:30.000,687.1983416780876,-1986.8196588856042,6548.978333552859
1 Oct 2025 06:49:40.000,630.4681593025471,-1937.8924115089205,6569.3144494350645
1 Oct 2025 06:49:50.000,573.8528101554577,-1888.6718925084695,6588.810368604131
1 Oct 2025 06:50:00.000,517.2707099483688,-1839.0091098689575,6607.517449967828
1 Oct 2025 06:50:10.000,460.76491366359164,-1788.9492928846032,6625.418169276202
1 Oct 2025 06:50:20.000,404.3922511100086,-1738.527797892654,6642.499372100566
1 Oct 2025 06:50:30.000,348.0806033450791,-1687.6812174393858,6658.782226628368
1 Oct 2025 06:50:40.000,291.8936058154517,-1636.5403159875887,6674.229777110277
1 Oct 2025 06:50:50.000,235.81006065591953,-1585.0018621212546,6688.869230644203
